sep=;
Label;Training;Verification
1024_UDP;31;7;
11000_UDP;53;5;
11888_UDP;32;6;
12350_TCP;59;10;
139_TCP;226;24;
3702_UDP;246;34;
3800_UDP;62;4;
40003_UDP;48;5;
40005_UDP;30;1;
40018_UDP;37;2;
40020_UDP;60;2;
40023_UDP;31;0;
40024_UDP;37;3;
40025_UDP;30;1;
40027_UDP;39;4;
40028_UDP;31;5;
40029_TCP;33;2;
40029_UDP;51;5;
40030_UDP;33;2;
40036_UDP;35;0;
4070_TCP;184;21;
43265_UDP;131;19;
45776_TCP;38;5;
47993_UDP;87;11;
49001_UDP;77;7;
50321_UDP;130;14;
51654_UDP;1422;146;
5353_UDP;239;23;
6992_UDP;30;2;
8621_UDP;60;12;
8999_UDP;74;14;
9875_UDP;33;2;
TCP_Dns;44;3;
TCP_HTTP;27543;3097;
TCP_Https;107095;11692;
TCP_icslap;1833;235;
TCP_Jabber;55;6;
TCP_JabberSsl;175;12;
TCP_POP3tlsSSL;201;22;
TCP_SMTPtlsSSL;86;8;
TCP_SSH;94;4;
TCP_TeamViewer;292;31;
UDP_DhcPc;66;8;
UDP_DhcPs;403;65;
UDP_DhcPv6C;43;4;
UDP_Dns;39972;4492;
UDP_Https;1735;183;
UDP_LLMNR;40182;4396;
UDP_NATpmp;183;19;
UDP_netbios;422;50;
UDP_netbiosdgm;484;51;
UDP_OnlineGames;4362;491;
UDP_P2PBittorrent;2094;210;
UDP_RTP;137;13;
UDP_spotify;171;31;
UDP_SSDP;10941;1224;
UDP_STUN;249;31;
UDP_TeamViewer;104;8;
