sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;38;31;
139_TCP;117;133;
3702_UDP;143;137;
3800_UDP;34;32;
40003_UDP;31;22;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;31;31;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;33;23;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;108;97;
43265_UDP;77;73;
45776_TCP;30;13;
47993_UDP;41;57;
49001_UDP;44;40;
50321_UDP;74;70;
51654_UDP;756;812;
5353_UDP;139;123;
6992_UDP;30;2;
8621_UDP;30;42;
8999_UDP;48;40;
9875_UDP;30;5;
TCP_Dns;30;17;
TCP_HTTP;15327;15313;
TCP_Https;59525;59262;
TCP_icslap;1034;1034;
TCP_Jabber;33;28;
TCP_JabberSsl;90;97;
TCP_POP3tlsSSL;118;105;
TCP_SMTPtlsSSL;46;48;
TCP_SSH;45;53;
TCP_TeamViewer;152;171;
UDP_DhcPc;34;40;
UDP_DhcPs;240;228;
UDP_DhcPv6C;30;17;
UDP_Dns;22192;22272;
UDP_Https;987;931;
UDP_LLMNR;22206;22372;
UDP_NATpmp;97;105;
UDP_netbios;230;242;
UDP_netbiosdgm;257;278;
UDP_OnlineGames;2427;2426;
UDP_P2PBittorrent;1122;1182;
UDP_RTP;72;78;
UDP_spotify;95;107;
UDP_SSDP;6073;6092;
UDP_STUN;143;137;
UDP_TeamViewer;58;54;
