sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;35;23;
11888_UDP-;30;8;
12350_TCP-skypeexe;50;19;
139_TCP-;37;15;
139_TCP-system;140;58;
3702_UDP-;195;85;
3800_UDP-;51;15;
40003_UDP-;36;17;
40005_UDP-;30;1;
40018_UDP-;31;8;
40020_UDP-;46;16;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;41;15;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;142;63;
43265_UDP-;101;49;
45776_TCP-utorrentexe;30;13;
47993_UDP-;76;22;
49001_UDP-;59;25;
50321_UDP-;111;33;
51654_UDP-;1094;474;
5353_UDP-;187;75;
6992_UDP-;30;2;
8621_UDP-;49;23;
8999_UDP-;60;28;
9875_UDP-;30;5;
TCP_Dns-system;33;14;
TCP_HTTP-;10839;4586;
TCP_HTTP-avgmfapxexe;34;6;
TCP_HTTP-firefoxexe;1040;447;
TCP_HTTP-chromeexe;647;297;
TCP_HTTP-iexploreexe;1700;716;
TCP_HTTP-itunesexe;189;78;
TCP_HTTP-onedriveexe;56;35;
TCP_Https-;10770;4826;
TCP_Https-firefoxexe;14536;6294;
TCP_Https-googledrivesyncexe;41;10;
TCP_Https-chromeexe;8550;3602;
TCP_Https-iexploreexe;7846;3277;
TCP_Https-itunesexe;7928;3249;
TCP_Https-mshtaexe;30;4;
TCP_Https-msmpengexe;48;20;
TCP_Https-onedriveexe;1202;502;
TCP_HTTP-spotifyexe;4415;1825;
TCP_Https-skypebrowserhostexe;539;232;
TCP_Https-skypeexe;4085;1649;
TCP_Https-spotifyexe;4497;1931;
TCP_Https-steamexe;44;19;
TCP_Https-steamwebhelperexe;36;18;
TCP_Https-svchostexe;443;207;
TCP_Https-system;22422;9519;
TCP_HTTP-steamexe;374;167;
TCP_HTTP-steamwebhelperexe;348;142;
TCP_Https-thunderbirdexe;30;17;
TCP_Https-utorrentexe;254;110;
TCP_HTTP-system;271;122;
TCP_HTTP-teamviewer_serviceexe;283;104;
TCP_HTTP-utorrentexe;1080;476;
TCP_HTTP-utorrentieexe;268;95;
TCP_icslap-;1088;479;
TCP_icslap-system;353;148;
TCP_Jabber-pidginexe;41;20;
TCP_JabberSsl-apsdaemonexe;137;50;
TCP_POP3tlsSSL-thunderbirdexe;150;73;
TCP_SMTPtlsSSL-thunderbirdexe;68;26;
TCP_SSH-puttyexe;30;6;
TCP_SSH-winscpexe;35;27;
TCP_TeamViewer-;93;32;
TCP_TeamViewer-system;54;24;
TCP_TeamViewer-teamviewer_serviceexe;84;36;
UDP_DhcPc-;48;26;
UDP_DhcPs-;317;151;
UDP_DhcPv6C-;35;12;
UDP_Dns-;31148;13316;
UDP_Https-;1354;564;
UDP_LLMNR-;31252;13326;
UDP_NATpmp-;143;59;
UDP_netbios-;329;143;
UDP_netbiosdgm-;371;164;
UDP_OnlineGames-;3419;1434;
UDP_P2PBittorrent-;1605;699;
UDP_RTP-;104;46;
UDP_spotify-;131;71;
UDP_SSDP-;8509;3656;
UDP_STUN-;191;89;
UDP_TeamViewer-;91;21;
